id,project,label,identifier,enabled,data,modularClassTags,geometryObjects,nodeObject_to,nodeObject_from
315,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_826376,True,"{'Name': 'Stair', 'Number': 'S1'}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/155/?format=json'],"[{'name': 'level', 'nodeObject_to': 375}]","[{'name': 'room_connected', 'nodeObject_from': 358}, {'name': 'room_connected', 'nodeObject_from': 342}, {'name': 'room_connected', 'nodeObject_from': 334}, {'name': 'room_connected', 'nodeObject_from': 351}, {'name': 'room_connected', 'nodeObject_from': 365}]"
316,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_826593,True,"{'Name': 'Stair', 'Number': 'S3'}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/156/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]","[{'name': 'room_connected', 'nodeObject_from': 358}, {'name': 'room_connected', 'nodeObject_from': 329}, {'name': 'room_connected', 'nodeObject_from': 344}, {'name': 'room_connected', 'nodeObject_from': 335}, {'name': 'room_connected', 'nodeObject_from': 352}, {'name': 'room_connected', 'nodeObject_from': 365}]"
317,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_826600,True,"{'Name': 'Stair', 'Number': 'S2'}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/157/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]","[{'name': 'room_connected', 'nodeObject_from': 365}, {'name': 'room_connected', 'nodeObject_from': 358}]"
318,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_826702,True,"{'Name': 'Elevator', 'Number': 'E1'}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/158/?format=json'],"[{'name': 'level', 'nodeObject_to': 382}]",[]
319,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_826708,True,"{'Name': 'Elevator', 'Number': 'E2'}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/159/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
320,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_828508,True,"{'Name': 'Cafe', 'Number': 101}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/160/?format=json'],"[{'name': 'level', 'nodeObject_to': 375}, {'name': 'room_connected', 'nodeObject_to': 321}]","[{'name': 'room_connected', 'nodeObject_from': 323}]"
321,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_828515,True,"{'Name': 'Cafe Kitchen', 'Number': 102}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/161/?format=json'],"[{'name': 'level', 'nodeObject_to': 375}]","[{'name': 'room_connected', 'nodeObject_from': 320}]"
322,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_828518,True,"{'Name': 'Outdoor Covered Dining', 'Number': 103}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/162/?format=json'],"[{'name': 'level', 'nodeObject_to': 375}]",[]
323,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_828521,True,"{'Name': 'Pocket Park', 'Number': 104}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/163/?format=json'],"[{'name': 'level', 'nodeObject_to': 375}, {'name': 'room_connected', 'nodeObject_to': 320}]",[]
324,snowdontowers,room,46ec4172-06ee-4490-8b81-5cb4f0c7c011_828534,True,"{'Name': 'Commercial/Retail', 'Number': 105}",['room'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/164/?format=json'],"[{'name': 'level', 'nodeObject_to': 385}]",[]
